provinsi,jenis,daerah,tahun,periode,gk,kategori,kategori_encoded
ACEH,NONMAKANAN,PERDESAAN,2022,MARET,131658.0,Rendah,3
ACEH,NONMAKANAN,PERDESAAN,2022,SEPTEMBER,140763.0,Rendah,3
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2021,MARET,130689.0,Rendah,3
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2021,SEPTEMBER,134643.0,Rendah,3
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2022,MARET,140570.0,Rendah,3
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2022,SEPTEMBER,149038.0,Rendah,3
ACEH,TOTAL,PERKOTAAN,2013,MARET,359217.0,Menengah,0
ACEH,TOTAL,PERKOTAAN,2013,SEPTEMBER,374261.0,Menengah,0
ACEH,TOTAL,PERKOTAAN,2014,MARET,383186.0,Menengah,0
ACEH,TOTAL,PERKOTAAN,2014,SEPTEMBER,396939.0,Menengah,0
ACEH,TOTAL,PERDESAAN,2013,MARET,319416.0,Menengah Rendah,1
ACEH,TOTAL,PERDESAAN,2013,SEPTEMBER,337962.0,Menengah Rendah,1
ACEH,TOTAL,PERDESAAN,2014,MARET,350204.0,Menengah Rendah,1
ACEH,TOTAL,PERDESAAN,2014,SEPTEMBER,369232.0,Menengah,0
ACEH,TOTAL,PERKOTAAN,2015,MARET,410414.0,Menengah,0
ACEH,TOTAL,PERKOTAAN,2015,SEPTEMBER,420324.0,Menengah,0
ACEH,TOTAL,PERKOTAAN,2016,MARET,427970.0,Menengah,0
ACEH,TOTAL,PERKOTAAN,2016,SEPTEMBER,445488.0,Menengah,0
ACEH,TOTAL,PERDESAAN,2015,MARET,382117.0,Menengah,0
ACEH,TOTAL,PERDESAAN,2015,SEPTEMBER,394419.0,Menengah,0
ACEH,TOTAL,PERDESAAN,2016,MARET,403985.0,Menengah,0
ACEH,TOTAL,PERDESAAN,2016,SEPTEMBER,415826.0,Menengah,0
ACEH,TOTAL,PERDESAANPERKOTAAN,2015,MARET,390150.0,Menengah,0
ACEH,TOTAL,PERDESAANPERKOTAAN,2015,SEPTEMBER,401772.0,Menengah,0
ACEH,TOTAL,PERDESAANPERKOTAAN,2016,MARET,410956.0,Menengah,0
ACEH,TOTAL,PERDESAANPERKOTAAN,2016,SEPTEMBER,424765.0,Menengah,0
ACEH,TOTAL,PERKOTAAN,2017,MARET,458011.0,Menengah,0
ACEH,TOTAL,PERKOTAAN,2017,SEPTEMBER,479872.0,Menengah,0
ACEH,TOTAL,PERKOTAAN,2018,MARET,486338.0,Menengah,0
ACEH,TOTAL,PERKOTAAN,2018,SEPTEMBER,496752.0,Menengah,0
ACEH,TOTAL,PERDESAAN,2017,MARET,425730.0,Menengah,0
ACEH,TOTAL,PERDESAAN,2017,SEPTEMBER,442869.0,Menengah,0
ACEH,TOTAL,PERDESAAN,2018,MARET,454740.0,Menengah,0
ACEH,TOTAL,PERDESAAN,2018,SEPTEMBER,467242.0,Menengah,0
ACEH,TOTAL,PERDESAANPERKOTAAN,2017,MARET,435454.0,Menengah,0
ACEH,TOTAL,PERDESAANPERKOTAAN,2017,SEPTEMBER,454124.0,Menengah,0
ACEH,TOTAL,PERDESAANPERKOTAAN,2018,MARET,464626.0,Menengah,0
ACEH,TOTAL,PERDESAANPERKOTAAN,2018,SEPTEMBER,476665.0,Menengah,0
ACEH,TOTAL,PERKOTAAN,2019,MARET,501617.0,Menengah,0
ACEH,TOTAL,PERKOTAAN,2019,SEPTEMBER,517900.0,Menengah Tinggi,2
ACEH,TOTAL,PERKOTAAN,2020,MARET,541451.0,Menengah Tinggi,2
ACEH,TOTAL,PERKOTAAN,2020,SEPTEMBER,543685.0,Menengah Tinggi,2
ACEH,TOTAL,PERDESAAN,2019,MARET,479569.0,Menengah,0
ACEH,TOTAL,PERDESAAN,2019,SEPTEMBER,497615.0,Menengah,0
ACEH,TOTAL,PERDESAAN,2020,MARET,512886.0,Menengah Tinggi,2
ACEH,TOTAL,PERDESAAN,2020,SEPTEMBER,514663.0,Menengah Tinggi,2
ACEH,TOTAL,PERDESAANPERKOTAAN,2019,MARET,486935.0,Menengah,0
ACEH,TOTAL,PERDESAANPERKOTAAN,2019,SEPTEMBER,504414.0,Menengah Tinggi,2
ACEH,TOTAL,PERDESAANPERKOTAAN,2020,MARET,522125.0,Menengah Tinggi,2
ACEH,TOTAL,PERDESAANPERKOTAAN,2020,SEPTEMBER,524208.0,Menengah Tinggi,2
ACEH,TOTAL,PERKOTAAN,2021,MARET,565776.0,Menengah Tinggi,2
ACEH,TOTAL,PERKOTAAN,2021,SEPTEMBER,577270.0,Menengah Tinggi,2
ACEH,TOTAL,PERKOTAAN,2022,MARET,606394.0,Menengah Tinggi,2
ACEH,TOTAL,PERKOTAAN,2022,SEPTEMBER,646232.0,Menengah Tinggi,2
ACEH,TOTAL,PERDESAAN,2021,MARET,529035.0,Menengah Tinggi,2
ACEH,TOTAL,PERDESAAN,2021,SEPTEMBER,541000.0,Menengah Tinggi,2
ACEH,TOTAL,PERDESAAN,2022,MARET,565762.0,Menengah Tinggi,2
ACEH,TOTAL,PERDESAAN,2022,SEPTEMBER,602900.0,Menengah Tinggi,2
ACEH,TOTAL,PERDESAANPERKOTAAN,2021,MARET,541109.0,Menengah Tinggi,2
ACEH,TOTAL,PERDESAANPERKOTAAN,2021,SEPTEMBER,552939.0,Menengah Tinggi,2
ACEH,TOTAL,PERDESAANPERKOTAAN,2022,MARET,579228.0,Menengah Tinggi,2
ACEH,TOTAL,PERDESAANPERKOTAAN,2022,SEPTEMBER,617293.0,Menengah Tinggi,2
SUMATERA UTARA,MAKANAN,PERKOTAAN,2015,MARET,261677.0,Menengah Rendah,1
SUMATERA UTARA,MAKANAN,PERKOTAAN,2015,SEPTEMBER,273271.0,Menengah Rendah,1
SUMATERA UTARA,MAKANAN,PERKOTAAN,2016,MARET,290096.0,Menengah Rendah,1
SUMATERA UTARA,MAKANAN,PERKOTAAN,2016,SEPTEMBER,302027.0,Menengah Rendah,1
SUMATERA UTARA,MAKANAN,PERDESAAN,2015,MARET,266143.0,Menengah Rendah,1
SUMATERA UTARA,MAKANAN,PERDESAAN,2015,SEPTEMBER,284650.0,Menengah Rendah,1
SUMATERA UTARA,MAKANAN,PERDESAAN,2016,MARET,304942.0,Menengah Rendah,1
SUMATERA UTARA,MAKANAN,PERDESAAN,2016,SEPTEMBER,313234.0,Menengah Rendah,1
SUMATERA UTARA,MAKANAN,PERDESAANPERKOTAAN,2015,MARET,263932.0,Menengah Rendah,1
SUMATERA UTARA,MAKANAN,PERDESAANPERKOTAAN,2015,SEPTEMBER,279015.0,Menengah Rendah,1
SUMATERA UTARA,MAKANAN,PERDESAANPERKOTAAN,2016,MARET,296832.0,Menengah Rendah,1
SUMATERA UTARA,MAKANAN,PERDESAANPERKOTAAN,2016,SEPTEMBER,308037.0,Menengah Rendah,1
SUMATERA UTARA,MAKANAN,PERKOTAAN,2017,MARET,311996.0,Menengah Rendah,1
SUMATERA UTARA,MAKANAN,PERKOTAAN,2017,SEPTEMBER,321688.0,Menengah Rendah,1
SUMATERA UTARA,MAKANAN,PERKOTAAN,2018,MARET,328225.0,Menengah Rendah,1
SUMATERA UTARA,MAKANAN,PERKOTAAN,2018,SEPTEMBER,345167.0,Menengah Rendah,1
SUMATERA UTARA,MAKANAN,PERDESAAN,2017,MARET,316190.0,Menengah Rendah,1
SUMATERA UTARA,MAKANAN,PERDESAAN,2017,SEPTEMBER,322222.0,Menengah Rendah,1
SUMATERA UTARA,MAKANAN,PERDESAAN,2018,MARET,333843.0,Menengah Rendah,1
SUMATERA UTARA,MAKANAN,PERDESAAN,2018,SEPTEMBER,342317.0,Menengah Rendah,1
SUMATERA UTARA,MAKANAN,PERDESAANPERKOTAAN,2017,MARET,314243.0,Menengah Rendah,1
SUMATERA UTARA,MAKANAN,PERDESAANPERKOTAAN,2017,SEPTEMBER,321967.0,Menengah Rendah,1
SUMATERA UTARA,MAKANAN,PERDESAANPERKOTAAN,2018,MARET,331105.0,Menengah Rendah,1
SUMATERA UTARA,MAKANAN,PERDESAANPERKOTAAN,2018,SEPTEMBER,343740.0,Menengah Rendah,1
SUMATERA UTARA,MAKANAN,PERKOTAAN,2019,MARET,354346.0,Menengah,0
SUMATERA UTARA,MAKANAN,PERKOTAAN,2019,SEPTEMBER,366831.0,Menengah,0
SUMATERA UTARA,MAKANAN,PERKOTAAN,2020,MARET,376919.0,Menengah,0
SUMATERA UTARA,MAKANAN,PERKOTAAN,2020,SEPTEMBER,378679.0,Menengah,0
SUMATERA UTARA,MAKANAN,PERDESAAN,2019,MARET,348030.0,Menengah Rendah,1
SUMATERA UTARA,MAKANAN,PERDESAAN,2019,SEPTEMBER,367379.0,Menengah,0
SUMATERA UTARA,MAKANAN,PERDESAAN,2020,MARET,376656.0,Menengah,0
SUMATERA UTARA,MAKANAN,PERDESAAN,2020,SEPTEMBER,378550.0,Menengah,0
SUMATERA UTARA,MAKANAN,PERDESAANPERKOTAAN,2019,MARET,351215.0,Menengah,0
SUMATERA UTARA,MAKANAN,PERDESAANPERKOTAAN,2019,SEPTEMBER,367105.0,Menengah,0
SUMATERA UTARA,MAKANAN,PERDESAANPERKOTAAN,2020,MARET,376790.0,Menengah,0
SUMATERA UTARA,MAKANAN,PERDESAANPERKOTAAN,2020,SEPTEMBER,378617.0,Menengah,0
SUMATERA UTARA,MAKANAN,PERKOTAAN,2021,MARET,397996.0,Menengah,0
SUMATERA UTARA,MAKANAN,PERKOTAAN,2021,SEPTEMBER,409313.0,Menengah,0
SUMATERA UTARA,MAKANAN,PERKOTAAN,2022,MARET,431588.0,Menengah,0
SUMATERA UTARA,MAKANAN,PERKOTAAN,2022,SEPTEMBER,458089.0,Menengah,0
SUMATERA UTARA,MAKANAN,PERDESAAN,2021,MARET,391979.0,Menengah,0
SUMATERA UTARA,MAKANAN,PERDESAAN,2021,SEPTEMBER,399971.0,Menengah,0
SUMATERA UTARA,MAKANAN,PERDESAAN,2022,MARET,415301.0,Menengah,0
SUMATERA UTARA,MAKANAN,PERDESAAN,2022,SEPTEMBER,438098.0,Menengah,0
SUMATERA UTARA,MAKANAN,PERDESAANPERKOTAAN,2021,MARET,395104.0,Menengah,0
SUMATERA UTARA,MAKANAN,PERDESAANPERKOTAAN,2021,SEPTEMBER,404860.0,Menengah,0
SUMATERA UTARA,MAKANAN,PERDESAANPERKOTAAN,2022,MARET,423760.0,Menengah,0
SUMATERA UTARA,MAKANAN,PERDESAANPERKOTAAN,2022,SEPTEMBER,448623.0,Menengah,0
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2015,MARET,102643.0,Rendah,3
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2015,SEPTEMBER,106627.0,Rendah,3
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2016,MARET,108312.0,Rendah,3
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2016,SEPTEMBER,111808.0,Rendah,3
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2015,MARET,65752.0,Rendah,3
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2015,SEPTEMBER,67987.0,Rendah,3
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2016,MARET,72806.0,Rendah,3
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2016,SEPTEMBER,75473.0,Rendah,3
SUMATERA UTARA,NONMAKANAN,PERDESAANPERKOTAAN,2015,MARET,84021.0,Rendah,3
SUMATERA UTARA,NONMAKANAN,PERDESAANPERKOTAAN,2015,SEPTEMBER,87123.0,Rendah,3
SUMATERA UTARA,NONMAKANAN,PERDESAANPERKOTAAN,2016,MARET,91324.0,Rendah,3
SUMATERA UTARA,NONMAKANAN,PERDESAANPERKOTAAN,2016,SEPTEMBER,93795.0,Rendah,3
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2017,MARET,113696.0,Rendah,3
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2017,SEPTEMBER,117206.0,Rendah,3
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2018,MARET,120138.0,Rendah,3
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2018,SEPTEMBER,120623.0,Rendah,3
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2017,MARET,79842.0,Rendah,3
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2017,SEPTEMBER,84935.0,Rendah,3
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2018,MARET,87743.0,Rendah,3
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2018,SEPTEMBER,93173.0,Rendah,3
SUMATERA UTARA,NONMAKANAN,PERDESAANPERKOTAAN,2017,MARET,97102.0,Rendah,3
SUMATERA UTARA,NONMAKANAN,PERDESAANPERKOTAAN,2017,SEPTEMBER,101729.0,Rendah,3
SUMATERA UTARA,NONMAKANAN,PERDESAANPERKOTAAN,2018,MARET,104865.0,Rendah,3
SUMATERA UTARA,NONMAKANAN,PERDESAANPERKOTAAN,2018,SEPTEMBER,107932.0,Rendah,3
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2019,MARET,129321.0,Rendah,3
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2019,SEPTEMBER,139706.0,Rendah,3
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2020,MARET,141299.0,Rendah,3
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2020,SEPTEMBER,141850.0,Rendah,3
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2019,MARET,97785.0,Rendah,3
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2019,SEPTEMBER,103166.0,Rendah,3
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2020,MARET,108061.0,Rendah,3
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2020,SEPTEMBER,108091.0,Rendah,3
SUMATERA UTARA,NONMAKANAN,PERDESAANPERKOTAAN,2019,MARET,114907.0,Rendah,3
SUMATERA UTARA,NONMAKANAN,PERDESAANPERKOTAAN,2019,SEPTEMBER,123015.0,Rendah,3
SUMATERA UTARA,NONMAKANAN,PERDESAANPERKOTAAN,2020,MARET,126114.0,Rendah,3
SUMATERA UTARA,NONMAKANAN,PERDESAANPERKOTAAN,2020,SEPTEMBER,126619.0,Rendah,3
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2021,MARET,145089.0,Rendah,3
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2021,SEPTEMBER,147124.0,Rendah,3
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2022,MARET,151633.0,Rendah,3
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2022,SEPTEMBER,157137.0,Rendah,3
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2021,MARET,112706.0,Rendah,3
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2021,SEPTEMBER,114016.0,Rendah,3
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2022,MARET,118883.0,Rendah,3
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2022,SEPTEMBER,125685.0,Rendah,3
SUMATERA UTARA,NONMAKANAN,PERDESAANPERKOTAAN,2021,MARET,130652.0,Rendah,3
SUMATERA UTARA,NONMAKANAN,PERDESAANPERKOTAAN,2021,SEPTEMBER,132451.0,Rendah,3
SUMATERA UTARA,NONMAKANAN,PERDESAANPERKOTAAN,2022,MARET,137244.0,Rendah,3
SUMATERA UTARA,NONMAKANAN,PERDESAANPERKOTAAN,2022,SEPTEMBER,143402.0,Rendah,3
SUMATERA UTARA,TOTAL,PERKOTAAN,2013,MARET,307352.0,Menengah Rendah,1
SUMATERA UTARA,TOTAL,PERKOTAAN,2013,SEPTEMBER,330517.0,Menengah Rendah,1
SUMATERA UTARA,TOTAL,PERKOTAAN,2014,MARET,338234.0,Menengah Rendah,1
SUMATERA UTARA,TOTAL,PERKOTAAN,2014,SEPTEMBER,349372.0,Menengah Rendah,1
SUMATERA UTARA,TOTAL,PERDESAAN,2013,MARET,263061.0,Menengah Rendah,1
SUMATERA UTARA,TOTAL,PERDESAAN,2013,SEPTEMBER,292186.0,Menengah Rendah,1
SUMATERA UTARA,TOTAL,PERDESAAN,2014,MARET,299145.0,Menengah Rendah,1
SUMATERA UTARA,TOTAL,PERDESAAN,2014,SEPTEMBER,312493.0,Menengah Rendah,1
SUMATERA UTARA,TOTAL,PERKOTAAN,2015,MARET,364320.0,Menengah,0
SUMATERA UTARA,TOTAL,PERKOTAAN,2015,SEPTEMBER,379898.0,Menengah,0
SUMATERA UTARA,TOTAL,PERKOTAAN,2016,MARET,398408.0,Menengah,0
SUMATERA UTARA,TOTAL,PERKOTAAN,2016,SEPTEMBER,413835.0,Menengah,0
SUMATERA UTARA,TOTAL,PERDESAAN,2015,MARET,331895.0,Menengah Rendah,1
SUMATERA UTARA,TOTAL,PERDESAAN,2015,SEPTEMBER,352637.0,Menengah,0
SUMATERA UTARA,TOTAL,PERDESAAN,2016,MARET,377748.0,Menengah,0
SUMATERA UTARA,TOTAL,PERDESAAN,2016,SEPTEMBER,388707.0,Menengah,0
SUMATERA UTARA,TOTAL,PERDESAANPERKOTAAN,2015,MARET,347953.0,Menengah Rendah,1
SUMATERA UTARA,TOTAL,PERDESAANPERKOTAAN,2015,SEPTEMBER,366138.0,Menengah,0
SUMATERA UTARA,TOTAL,PERDESAANPERKOTAAN,2016,MARET,388156.0,Menengah,0
SUMATERA UTARA,TOTAL,PERDESAANPERKOTAAN,2016,SEPTEMBER,401832.0,Menengah,0
SUMATERA UTARA,TOTAL,PERKOTAAN,2017,MARET,425693.0,Menengah,0
SUMATERA UTARA,TOTAL,PERKOTAAN,2017,SEPTEMBER,438894.0,Menengah,0
SUMATERA UTARA,TOTAL,PERKOTAAN,2018,MARET,448363.0,Menengah,0
SUMATERA UTARA,TOTAL,PERKOTAAN,2018,SEPTEMBER,465790.0,Menengah,0
SUMATERA UTARA,TOTAL,PERDESAAN,2017,MARET,396033.0,Menengah,0
SUMATERA UTARA,TOTAL,PERDESAAN,2017,SEPTEMBER,407157.0,Menengah,0
SUMATERA UTARA,TOTAL,PERDESAAN,2018,MARET,421586.0,Menengah,0
SUMATERA UTARA,TOTAL,PERDESAAN,2018,SEPTEMBER,435492.0,Menengah,0
SUMATERA UTARA,TOTAL,PERDESAANPERKOTAAN,2017,MARET,411345.0,Menengah,0
SUMATERA UTARA,TOTAL,PERDESAANPERKOTAAN,2017,SEPTEMBER,423696.0,Menengah,0
SUMATERA UTARA,TOTAL,PERDESAANPERKOTAAN,2018,MARET,435970.0,Menengah,0
SUMATERA UTARA,TOTAL,PERDESAANPERKOTAAN,2018,SEPTEMBER,451673.0,Menengah,0
SUMATERA UTARA,TOTAL,PERKOTAAN,2019,MARET,483667.0,Menengah,0
SUMATERA UTARA,TOTAL,PERKOTAAN,2019,SEPTEMBER,506538.0,Menengah Tinggi,2
SUMATERA UTARA,TOTAL,PERKOTAAN,2020,MARET,518218.0,Menengah Tinggi,2
SUMATERA UTARA,TOTAL,PERKOTAAN,2020,SEPTEMBER,520529.0,Menengah Tinggi,2
SUMATERA UTARA,TOTAL,PERDESAAN,2019,MARET,445815.0,Menengah,0
SUMATERA UTARA,TOTAL,PERDESAAN,2019,SEPTEMBER,470545.0,Menengah,0
SUMATERA UTARA,TOTAL,PERDESAAN,2020,MARET,484717.0,Menengah,0
SUMATERA UTARA,TOTAL,PERDESAAN,2020,SEPTEMBER,486642.0,Menengah,0
